GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring.coverage-example-GuidoDebandi,spring.coverage.example,Application,8,0,0,0,3,0,2,0,2,0
spring.coverage-example-GuidoDebandi,spring.coverage.example.model,Example.ExampleBuilder,8,28,0,0,0,1,1,5,1,5
spring.coverage-example-GuidoDebandi,spring.coverage.example.model,Example,118,16,18,0,4,1,19,2,10,2
spring.coverage-example-GuidoDebandi,spring.coverage.example.controller,ExampleController,12,11,0,0,4,4,2,2,2,2
spring.coverage-example-GuidoDebandi,spring.coverage.example.service.impl,ExampleServiceImpl,25,38,3,1,6,8,4,2,2,2
